PLAYER1_NAME,game_winning_3,game_winning_2,game_winning_ft,game_winning_points
Aaron Gordon,1,3,0,9
Aaron Holiday,2,1,2,10
Aaron Nesmith,2,3,2,14
Aaron Wiggins,1,1,0,5
Adama Sanogo,0,0,1,1
Al Horford,2,1,0,8
Alec Burks,1,0,0,3
Aleksej Pokusevski,0,1,0,2
Alex Caruso,2,0,0,6
Alex Len,0,2,1,5
Alperen Sengun,0,4,0,8
Amari Bailey,0,1,0,2
Amir Coffey,0,0,1,1
Andre Drummond,0,3,0,6
Andrew Nembhard,0,1,0,2
Andrew Wiggins,0,2,1,5
Anfernee Simons,1,3,1,10
Anthony Davis,0,5,2,12
Anthony Edwards,6,9,4,40
Anthony Gill,0,1,0,2
Austin Reaves,3,2,3,16
Bam Adebayo,1,6,0,15
Ben Sheppard,1,1,0,5
Bennedict Mathurin,1,1,2,7
Bilal Coulibaly,0,0,1,1
Bob Thornton,0,1,0,2
Bobby Portis,1,2,0,7
Bogdan Bogdanovic,1,1,0,5
Bradley Beal,3,4,1,18
Brandin Podziemski,0,1,1,3
Brandon Ingram,2,9,1,25
Brandon Miller,0,4,1,9
Brook Lopez,3,0,1,10
Bruce Brown,0,2,1,5
Bruno Fernando,0,0,1,1
Buddy Hield,4,0,0,12
CJ McCollum,6,1,1,21
Cade Cunningham,1,2,0,7
Caleb Martin,1,2,1,8
Cam Thomas,2,1,1,9
Cam Whitmore,1,1,0,5
Cameron Payne,2,1,0,8
Caris LeVert,2,4,1,15
Cason Wallace,0,1,0,2
Cedi Osman,0,1,0,2
Chet Holmgren,1,1,3,8
Chris Boucher,1,0,0,3
Chris Duarte,1,0,0,3
Chris Paul,0,3,1,7
Christian Braun,1,2,0,7
Clint Capela,0,1,1,3
Coby White,5,2,2,21
Cole Anthony,1,5,0,13
Collin Sexton,0,3,2,8
Corey Kispert,1,1,1,6
D'Angelo Russell,7,1,2,25
Daishen Nix,1,0,0,3
Dalano Banton,1,1,1,6
Dalen Terry,0,1,0,2
Damian Lillard,3,5,5,24
Daniel Gafford,0,2,0,4
Daniel Theis,0,2,0,4
Dante Exum,3,0,0,9
Dario Saric,0,1,1,3
Darius Garland,2,5,2,18
Davion Mitchell,1,1,0,5
Day'Ron Sharpe,0,1,0,2
De'Aaron Fox,0,7,3,17
De'Andre Hunter,2,1,0,8
De'Anthony Melton,0,2,1,5
DeAndre Jordan,0,1,0,2
DeMar DeRozan,0,8,3,19
Dean Wade,1,2,0,7
Deandre Ayton,0,3,0,6
Dejounte Murray,4,2,2,18
Delon Wright,1,0,0,3
Dennis Schroder,2,4,1,15
Dennis Smith Jr.,0,2,0,4
Dereck Lively II,0,0,1,1
Derrick Jones Jr.,0,1,0,2
Derrick White,4,0,1,13
Desmond Bane,0,0,2,2
Devin Booker,1,1,3,8
Devonte' Graham,0,1,0,2
Dillon Brooks,1,1,0,5
Domantas Sabonis,0,7,5,19
Donovan Mitchell,1,3,1,10
Donte DiVincenzo,5,2,0,19
Dorian Finney-Smith,1,0,0,3
Doug McDermott,1,0,0,3
Draymond Green,0,2,1,5
Drew Peterson,1,0,0,3
Duncan Robinson,1,1,1,6
Duop Reath,0,2,0,4
Dyson Daniels,2,1,0,8
Eric Gordon,5,0,0,15
Evan Mobley,1,2,0,7
Franz Wagner,1,7,3,20
Fred VanVleet,4,0,4,16
Garrison Mathews,1,0,0,3
Gary Payton II,1,0,0,3
Gary Trent Jr.,2,0,0,6
George Zidek,0,1,0,2
Georges Niang,3,1,1,12
Giannis Antetokounmpo,0,7,6,20
Goga Bitadze,0,0,2,2
Gordon Hayward,0,1,1,3
Grant Williams,1,2,0,7
Grayson Allen,4,0,0,12
Gui Santos,1,0,0,3
Harrison Barnes,3,0,1,10
Harry Giles III,1,0,0,3
Haywood Highsmith,0,3,1,7
Herbert Jones,0,0,1,1
Immanuel Quickley,2,1,3,11
Isaac Okoro,0,3,0,6
Isaiah Hartenstein,0,3,0,6
Isaiah Jackson,0,1,1,3
Isaiah Joe,1,1,0,5
Isaiah Stewart,0,1,0,2
Ivica Zubac,0,2,1,5
Ja Morant,0,1,1,3
Jabari Smith Jr.,3,0,2,11
Jabari Walker,0,0,2,2
Jaden Hardy,3,1,0,11
Jaden Ivey,2,0,1,7
Jaden McDaniels,3,2,0,13
Jaden Springer,0,0,1,1
Jae Crowder,1,0,0,3
Jae'Sean Tate,0,0,1,1
Jaime Jaquez Jr.,0,2,1,5
Jake LaRavia,0,0,1,1
Jalen Brunson,2,7,3,23
Jalen Duren,0,2,0,4
Jalen Green,7,2,2,27
Jalen Johnson,2,4,0,14
Jalen Smith,0,1,0,2
Jalen Suggs,2,0,2,8
Jalen Williams,4,10,3,35
Jamal Murray,5,2,1,20
James Harden,2,0,1,7
Jaren Jackson Jr.,1,8,1,20
Jarred Vanderbilt,0,1,0,2
Jarrett Allen,0,3,1,7
Jaxson Hayes,0,1,0,2
Jaylen Brown,1,3,3,12
Jaylin Williams,0,1,0,2
Jayson Tatum,4,7,5,31
Jeff Dowtin Jr.,1,0,0,3
Jeff Green,0,1,1,3
Jerami Grant,0,2,0,4
Jeremy Sochan,1,3,2,11
Jerome Robinson,0,1,0,2
Jevon Carter,0,1,0,2
Jimmy Butler,0,4,3,11
Joe Ingles,1,1,0,5
Joel Embiid,0,5,6,16
John Collins,0,1,0,2
Jonas Valanciunas,0,1,2,4
Jonathan Isaac,0,1,0,2
Jonathan Kuminga,1,1,1,6
Jordan Clarkson,2,3,1,13
Jordan Goodwin,1,0,0,3
Jordan McLaughlin,1,0,0,3
Jordan Poole,1,0,1,4
Jose Alvarado,2,3,0,12
Josh Giddey,1,2,1,8
Josh Green,2,2,0,10
Josh Hart,1,7,1,18
Josh Okogie,0,1,0,2
Josh Richardson,2,2,0,10
Jrue Holiday,4,3,2,20
Julius Randle,2,5,1,17
Justin Holiday,1,0,0,3
Jusuf Nurkic,0,2,2,6
Karl-Anthony Towns,0,2,1,5
Kawhi Leonard,2,6,7,25
Keegan Murray,3,2,0,13
Keita Bates-Diop,0,1,0,2
Keldon Johnson,0,1,1,3
Kelly Olynyk,2,1,3,11
Kelly Oubre Jr.,1,4,0,11
Kenneth Lofton Jr.,0,0,1,1
Kenrich Williams,1,0,0,3
Kentavious Caldwell-Pope,3,1,2,13
Kevin Durant,6,5,3,31
Kevin Huerter,3,0,0,9
Kevin Love,1,0,0,3
Keyonte George,3,3,0,15
Khris Middleton,1,3,0,9
Klay Thompson,1,2,0,7
Kris Dunn,0,1,0,2
Kristaps Porzingis,0,3,4,10
Kyle Anderson,0,1,1,3
Kyle Kuzma,2,3,2,14
Kyle Lowry,0,0,1,1
Kyrie Irving,7,1,3,26
Larry Nance Jr.,0,1,3,5
Lauri Markkanen,1,3,0,9
LeBron James,2,3,6,18
Lonnie Walker IV,1,1,0,5
Luguentz Dort,1,1,4,9
Luka Doncic,3,2,2,15
Luke Kennard,0,2,1,5
Luke Kornet,0,5,0,10
Malaki Branham,0,0,1,1
Malcolm Brogdon,1,1,0,5
Malik Beasley,1,1,0,5
Malik Monk,1,4,0,11
Marcus Morris Sr.,0,2,0,4
Marcus Sasser,1,0,1,4
Marcus Smart,0,0,1,1
Mark Williams,0,1,1,3
Markelle Fultz,0,1,0,2
Markieff Morris,1,0,0,3
Mason Plumlee,0,3,0,6
Matisse Thybulle,0,1,0,2
Max Christie,1,0,0,3
Max Strus,2,0,4,10
Maxi Kleber,0,1,1,3
Michael Porter Jr.,4,3,2,20
Mikal Bridges,1,5,2,15
Mike Conley,4,0,2,14
Mike Muscala,0,1,0,2
Miles Bridges,1,2,1,8
Miles McBride,3,0,1,10
Moritz Wagner,2,6,1,19
Moses Moody,0,1,1,3
Myles Turner,1,2,0,7
Naji Marshall,0,0,2,2
Nassir Little,1,0,1,4
Nate Hinton,1,0,0,3
Naz Reid,3,6,0,21
Nic Claxton,0,1,0,2
Nickeil Alexander-Walker,0,1,0,2
Nikola Jokic,1,7,4,21
Nikola Jovic,0,1,0,2
Nikola Vucevic,1,4,2,13
Noah Clowney,0,0,1,1
Norman Powell,5,5,0,25
OG Anunoby,2,1,1,9
Obi Toppin,1,5,0,13
Ochai Agbaji,0,1,0,2
Olivier Sarr,0,0,1,1
Omer Yurtseven,0,1,0,2
Onyeka Okongwu,0,2,0,4
Orlando Robinson,0,1,0,2
Otto Porter Jr.,0,1,0,2
P.J. Washington,1,2,1,8
Paolo Banchero,1,6,4,19
Pascal Siakam,0,3,3,9
Pat Connaughton,2,0,0,6
Patrick Beverley,2,2,1,11
Patrick Williams,0,2,0,4
Paul George,4,3,1,19
Paul Reed,0,5,0,10
Payton Pritchard,1,1,1,6
Peyton Watson,2,1,0,8
Precious Achiuwa,0,1,0,2
RJ Barrett,2,1,1,9
Reggie Jackson,3,4,2,19
Ricky Council IV,0,1,2,4
Robert Covington,0,1,1,3
Royce O'Neale,2,1,0,8
Rudy Gobert,0,5,4,14
Rui Hachimura,3,2,0,13
Russell Westbrook,0,4,0,8
Saddiq Bey,0,1,0,2
Sam Hauser,4,0,0,12
Sam Merrill,2,0,0,6
Sandro Mamukelashvili,0,2,0,4
Santi Aldama,0,3,0,6
Scottie Barnes,0,2,2,6
Scotty Pippen Jr.,0,1,0,2
Seth Curry,3,0,1,10
Shaedon Sharpe,0,0,3,3
Shai Gilgeous-Alexander,1,11,2,27
Simone Fontecchio,0,1,1,3
Spencer Dinwiddie,2,2,0,10
Stephen Curry,7,5,3,34
Svi Mykhailiuk,1,0,0,3
T.J. McConnell,1,1,0,5
Taurean Prince,1,1,1,6
Terance Mann,0,2,0,4
Terry Rozier,2,4,0,14
Theo Maledon,0,0,1,1
Thomas Bryant,0,1,1,3
Tim Hardaway Jr.,3,4,0,17
Tobias Harris,2,2,3,13
Torrey Craig,0,1,0,2
Toumani Camara,0,1,0,2
Trae Young,3,1,5,16
Trayce Jackson-Davis,0,4,0,8
Tre Jones,1,0,0,3
Tre Mann,0,1,1,3
Trendon Watford,0,1,0,2
Trey Lyles,1,0,0,3
Trey Murphy III,3,1,1,12
Tyler Herro,2,2,0,10
Tyrese Haliburton,7,4,0,29
Tyrese Maxey,2,1,3,11
Victor Wembanyama,1,2,2,9
Vince Williams Jr.,0,0,2,2
Walker Kessler,0,2,0,4
Wesley Matthews,0,1,0,2
Xavier Tillman,0,1,0,2
Yuta Watanabe,0,0,1,1
Zach Collins,0,1,0,2
Zach LaVine,1,0,0,3
Zeke Nnaji,0,0,1,1
Ziaire Williams,1,0,0,3
Zion Williamson,0,5,1,11
NA,0,1,0,2
